"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 16 20:13:59 UTC 2021","Thu Sep 16 20:14:07 UTC 2021","8772","","should test search feature","","should test search feature","should find ""electronic"" apple-motion element","should find ""electronic"" apple-motion element","find ""electronic"" apple-motion element"
"passed","Thu Sep 16 20:15:04 UTC 2021","Thu Sep 16 20:15:07 UTC 2021","3086","","should test search feature","","should test search feature","should Logout","should Logout",""
"passed","Thu Sep 16 20:11:31 UTC 2021","Thu Sep 16 20:12:48 UTC 2021","77132","","should test switching currency","","should test switching currency","should switch currency using footer dropdown","should switch currency using footer dropdown","Switch between currencies "
"passed","Thu Sep 16 20:13:38 UTC 2021","Thu Sep 16 20:13:49 UTC 2021","10672","","should test search feature","","should test search feature","should find ""electronic"" after-effects element","should find ""electronic"" after-effects element","find ""electronic"" after-effects element"
"passed","Thu Sep 16 20:14:07 UTC 2021","Thu Sep 16 20:14:16 UTC 2021","8527","","should test search feature","","should test search feature","should find ""electronic"" resolve element","should find ""electronic"" resolve element","find ""electronic"" resolve element"
"passed","Thu Sep 16 20:14:53 UTC 2021","Thu Sep 16 20:15:04 UTC 2021","10836","","should test search feature","","should test search feature","should find ""electronic"" Lottie element","should find ""electronic"" Lottie element","find ""electronic"" Lottie element"
"passed","Thu Sep 16 20:13:26 UTC 2021","Thu Sep 16 20:13:38 UTC 2021","12028","","should test search feature","","should test search feature","should find ""electronic"" Video element","should find ""electronic"" Video element","find ""electronic"" Video element"
"passed","Thu Sep 16 20:11:05 UTC 2021","Thu Sep 16 20:11:31 UTC 2021","25482","","should test switching currency","","should test switching currency","should LogIn","should LogIn",""
"passed","Thu Sep 16 20:14:28 UTC 2021","Thu Sep 16 20:14:43 UTC 2021","14890","","should test search feature","","should test search feature","should find ""electronic"" Sound-effects element","should find ""electronic"" Sound-effects element","find ""electronic"" Sound-effects element"
"passed","Thu Sep 16 20:14:16 UTC 2021","Thu Sep 16 20:14:28 UTC 2021","12510","","should test search feature","","should test search feature","should find ""electronic"" Image element","should find ""electronic"" Image element","find ""electronic"" Image element"
"passed","Thu Sep 16 20:12:48 UTC 2021","Thu Sep 16 20:12:51 UTC 2021","3446","","should test switching currency","","should test switching currency","should Logout","should Logout",""
"passed","Thu Sep 16 20:13:15 UTC 2021","Thu Sep 16 20:13:26 UTC 2021","11224","","should test search feature","","should test search feature","should find ""electronic"" Music element","should find ""electronic"" Music element","find ""electronic"" Music element"
"passed","Thu Sep 16 20:13:49 UTC 2021","Thu Sep 16 20:13:59 UTC 2021","10093","","should test search feature","","should test search feature","should find ""electronic"" premiere-pro element","should find ""electronic"" premiere-pro element","find ""electronic"" premiere-pro element"
"passed","Thu Sep 16 20:14:43 UTC 2021","Thu Sep 16 20:14:53 UTC 2021","10010","","should test search feature","","should test search feature","should find ""electronic"" 3D element","should find ""electronic"" 3D element","find ""electronic"" 3D element"
"passed","Thu Sep 16 20:12:51 UTC 2021","Thu Sep 16 20:13:15 UTC 2021","23461","","should test search feature","","should test search feature","should LogIn","should LogIn",""
